Code,Lat,Lon,Depth,Date
A01,-17.4,-38.4,917,7309300410
A06,49.7,54.7,860,7607021052
A07,24.0,53.7,900,7607020311
A08,-28.0,-28.1,940,7705161052
A09,-37.8,-30.8,975,7704161958
A11,9.3,17.5,1200,7706180501
A14,-28.7,-33.9,880,7305281853
A16,6.8,5.1,1105,7210081524
A17,23.1,-18.0,861,7211070852
A18,18.6,34.7,882,7301052250
A20,21.7,-41.0,1055,7205151718
A24,-36.8,-38.9,980,7706121817
A25,34.4,59.3,898,7706092015
A26,12.2,10.2,1135,7706201450
A27,22.5,18.5,1059,7705160001
A30,11.8,-34.3,921,7205170042
A33,6.9,117.8,887,7210111935
A34,7.0,-9.3,932,7206141834
A40,-1.6,-10.9,886,7306272348
A41,13.9,-26.8,953,7206081616
A42,22.7,-53.5,1004,7305030152
A44,51.9,57.1,956,7405190309
A50,9.4,-51.6,835,7304300105
A51,8.8,15.7,888,7402180835
A84,-10.1,-31.9,862,7607221946
A85,28.0,59.6,800,7707191037
A97,-3.4,18.7,1000,7705190608
